Part;Value;Device;Package;Description
C1;22u;C-EUC1206;C1206;CAPACITOR, European symbol
C2;22u;C-EUC1206;C1206;CAPACITOR, European symbol
C3;22u;C-EUC1206;C1206;CAPACITOR, European symbol
C4;22u;C-EUC1206;C1206;CAPACITOR, European symbol
C5;22u;C-EUC1206;C1206;CAPACITOR, European symbol
D1;PMEG60T30ELRX;PMEG60T30ELRX;SODFL3517X110N;60 V, 3 A low leakage current Trench MEGA Schottky barrier rectifier
D2;;SUPPRESSOR-SMBJ;SMBJ;Suppressor diode
D3;PMEG60T30ELRX;PMEG60T30ELRX;SODFL3517X110N;60 V, 3 A low leakage current Trench MEGA Schottky barrier rectifier
LED1;LED-GREEN0603;LED-GREEN0603;0603-GREEN;
Q1;TLP182_GR-TPL,E;TLP182_GR-TPL,E;SOIC127P700X230-6N;Transistor Output Optocouplers X36 PBF Trans Opto couplr 125C3750Vrms
R1;1k2;R-EU_R1206;R1206;RESISTOR, European symbol
R2;100k;R-EU_R0603;R0603;RESISTOR, European symbol
R3;1k;R-EU_R1206;R1206;RESISTOR, European symbol
R4;100R;R-EU_R0603;R0603;RESISTOR, European symbol
R5;22k;R-EU_R0603;R0603;RESISTOR, European symbol
R6;12k;R-EU_R0603;R0603;RESISTOR, European symbol
U$1;PINHEAD_1X2_508;PINHEAD_1X2_508;PINHEAD_1X2_508;
U$2;XT90;XT90;XT90;
U$3;XT90;XT90;XT90;
U1;SQJQ160E-T1_GE3DPAK_0E-T1_GE3_VIS-L;SQJQ160E-T1_GE3DPAK_0E-T1_GE3_VIS-L;DPAK_0E-T1_GE3_VIS-L;
Z1;SZMM3Z32VT1G;HPZR-C30-QX;HPZRC30QX;vp_HPZR-Q_SER - High power voltage regulator diodes@en-us
Z2;HPZRC12QX;HPZR-C12-QX;HPZRC12QX;vp_HPZR-Q_SER - High power voltage regulator diodes@en-us
